LAST_UPDATE_DT,NAME,STATE_CODE,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_1YR,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION,NUM_OF_EMPLOYEES,BEST_NDEBT_CHG_PCT,BEST_CAPEX,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_TOT_EQY,PROF_MARGIN,NEWS_SENTIMENT,PX_TO_CASH_FLOW,EFF_INT_RATE,PX_TO_BOOK_RATIO,SALES_GROWTH,EBITDA_TO_REVENUE,RD_EXPEND_TO_NET_SALES
2019-11-29,JACOBS ENGINEERING GROUP INC,TX,Industrial,Engineering&Construction,Engineering/R&D Services,92.09,26.42,0.7383279122177605,1.0894160270690918,21.41322060940383,12234583981.780003,11,18.181800842285156,2,8.291669845581055,68.09089660644531,12.5,FALSE,FALSE,215090.18181818182,48000,9.447115384615385,-107.075,12.223513268370807,24.288942072835656,6.657150160450713,0,NA,4.72579142930011,2.141299153170507,20.39831100345916,4.507190685285796,0
2019-11-29,JEFFERIES FINANCIAL GROUP IN,NY,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,20.9,0.4501,2.390057361376673,1.3147556781768799,NA,6267312928.8,12,16.66670036315918,2,8,66.25,16.66670036315918,FALSE,FALSE,252378.81818181818,NA,NA,NA,16.984657368983257,78.29642814246742,NA,0,NA,NA,0.6254454517484817,NA,NA,NA
2019-11-29,JELD-WEN HOLDING INC,NC,Industrial,Building Materials,Bldg Prod-Doors&Windows,22.75,3.69,NA,1.2137315273284912,17.651504218515537,2288439494.25,11,18.181800842285156,2,7.849999904632568,59.63639831542969,16.66670036315918,FALSE,FALSE,190275,23000,0,-137.857,48.43872037704991,192.482225350902,3.3211378831265903,0,7.845408382446974,5.147414499590237,2.9310267508805636,15.488652404822975,6.8502034760599,0
2019-11-29,JANUS HENDERSON GROUP PLC,,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,25.4,2,5.6670604377034985,1.17741858959198,11.614114907736496,4762159970.200001,11,27.2726993560791,3,4.066669940948486,60.09090042114258,0,FALSE,FALSE,237093,2301,2.443991853360489,-57.85,4.616675588477843,6.385959294762753,22.866372724494695,0,11.507673183410555,NA,1.0084834922342885,26.810230292294047,31.41397825992055,NA
2019-11-29,J. JILL INC,MA,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,1.74,-3.437623,NA,1.333552598953247,5.613627595614735,76630847.58,8,25,2,NA,55.375,33.33330154418945,FALSE,TRUE,NA,1498,1.030927835051546,NA,41.724403018877545,122.36347903365372,4.322050457195772,0,1.5743036336342706,7.250943737103843,1.0548713980611337,1.1626524575840207,13.873180207911512,0
2019-11-29,J & J SNACK FOODS CORP,NJ,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,185,28.13,1.0810810810810811,0.5857690572738647,37.24783217616734,3496227865,5,0,0,23.299999237060547,67,0,FALSE,FALSE,101333.33333333333,4600,NA,-55.1,0.10369464917951732,0.1267764596384292,7.9915751289310375,0,23.605572313032265,NA,4.192588674556312,4.236447575915975,13.954303755540515,0.05436216326011157
2019-11-29,JACK HENRY & ASSOCIATES INC,MO,Technology,Software,Data Processing/Mgmt,151.94,12.24,1.0530472711872174,0.8843773007392883,41.3033084078372,11689793193.759998,9,33.33330154418945,3,7.2870402336120605,59,0,FALSE,FALSE,286959.25,6402,-122.125,-83.10000000000001,0,0,17.510567137955974,0,28.754813972456386,NA,7.915481352723747,5.56800156649762,32.71211078057385,6.207159054828037
2019-11-29,JONES LANG LASALLE INC,IL,Financial,Real Estate,Real Estate Mgmnt/Servic,166.33,23.13,0.5168890577624202,1.0553327798843384,13.053817139282234,8571795925.08,10,40,4,5.361110210418701,62.400001525878906,25,TRUE,FALSE,225470.7,90000,3.5056967572305,-181,10.317689890778516,27.698487079930384,2.9690410824590647,0,23.181051965489633,NA,1.791624711584096,12.905100600559036,5.472350230414746,0
2019-11-29,JOUNCE THERAPEUTICS INC,MA,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,5.41,1.09,NA,1.6189826726913452,2.1343470288239863,179766249.92000002,8,12.5,1,NA,60.25,50,FALSE,FALSE,NA,115,NA,-1.298,0,0,-41.991687244060685,0,NA,NA,0.9390458908955164,-8.993076880129545,-42.120519623932154,107.44006993757766
2019-11-29,JOHNSON & JOHNSON,NJ,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,137.49,-9.41,2.762230102723184,0.8375488519668579,21.55374200837538,361856136138.51,11,27.2726993560791,3,7.319439888000488,64.545501708984375,25,FALSE,FALSE,303822.8,135100,0,-3544,19.92755991997594,51.010844825277815,18.750689498780353,0,15.762657585167663,3.3537756874317948,6.214238830824607,6.711576193590582,33.06897439354752,13.207732192544833
