LAST_UPDATE_DT,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_YTD,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,NUMBER_OF_DIRECTORS_ON_BOARD,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION
2019-11-18,INTL FLAVORS & FRAGRANCES,Basic Materials,Chemicals,Chemicals-Specialty,135.02,0.7499957,2.2218930528810543,0.8680176138877869,29.105148061272335,14416925494.440002,11,27.2726993560791,3,7.180560111999512,63.90909957885742,12,22.222200393676758,FALSE,FALSE,245101.3
2019-11-18,ILLUMINA INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,306.67,6.740007,NA,1.3178117275238037,51.41302635862346,45080490000.00001,9,33.33330154418945,3,6.425000190734863,60.88890075683594,10,11.111100196838379,FALSE,FALSE,339278.8
2019-11-18,INCYTE CORP,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,87.49,23.9,NA,1.1171982288360596,41.29268812327561,18845108902.1,8,25,2,9.854169845581055,62.75,8,22.222200393676758,FALSE,FALSE,493656.71428571426
2019-11-18,IHS MARKIT LTD,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,71.17,23.31,NA,NA,48.2022191639521,28538319233.82,12,25,3,4.560609817504883,64.66670227050781,11,20,FALSE,FALSE,280865.8181818182
2019-11-18,INTEL CORP,Technology,Semiconductors,Electronic Compo-Semicon,58.25,11.32,2.1630901123832738,1.0826199054718018,13.553237816162719,253387500000,9,22.222200393676758,2,5.166669845581055,58.33330154418945,10,0,FALSE,FALSE,298527.2727272727
2019-11-18,INTUIT INC,Technology,Software,Applications Software,268.4,71.54999,0.7897187131901964,1.1047364473342896,44.33583934840262,69803765512.79999,10,30,3,9.204549789428711,56.599998474121094,11,28.571399688720703,FALSE,FALSE,418204.4
2019-11-18,INTERNATIONAL PAPER CO,Basic Materials,Forest Products&Paper,Paper&Related Products,45.88,5.519999,4.4681777513432515,1.1112016439437866,9.145884644665093,17990303781.24,12,25,3,4.840909957885742,62.08330154418945,11,20,FALSE,FALSE,284689.9166666667
2019-11-18,INTERPUBLIC GROUP OF COS INC,Communications,Advertising,Advertising Agencies,22.36,1.730001,4.203935588621709,1.1035970449447632,12.634717450969308,8669689756,11,27.2726993560791,3,9.263890266418457,66.36360168457031,12,28.571399688720703,FALSE,FALSE,330717.9
2019-11-18,IPG PHOTONICS CORP,Technology,Semiconductors,Electronic Compo-Semicon,136.52,23.23,NA,1.3523319959640503,28.265011236534356,7245122406.880001,9,11.111100196838379,1,11.10830020904541,65.777801513671875,10,0,FALSE,FALSE,275942.5714285714
2019-11-18,IQVIA HOLDINGS INC,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,142.12,25.95,NA,1.0824462175369263,67.31085049677394,27576619590.520004,11,9.090909957885742,1,5.666669845581055,60.36360168457031,11,0,FALSE,FALSE,146169.54545454544
2019-11-18,INGERSOLL-RAND PLC,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,130.32,39.09,1.6267647986180804,0.9398319125175476,20.737404251297917,31224261491.999996,12,33.33330154418945,4,7.833330154418945,66.5,12,37.5,FALSE,FALSE,316772
2019-11-18,IRON MOUNTAIN INC,Financial,REITS,REITS-Storage,33.81,1.4,7.317361659603123,0.7444620132446289,29.755619660790366,9708318556.860003,12,25,3,8.532050132751465,63.41669845581055,13,25,FALSE,FALSE,260567.0909090909
2019-11-18,INTUITIVE SURGICAL INC,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,569.09,90.16999,NA,1.2992076873779297,54.62266716815608,65771725960.45,10,20,2,9.233329772949219,64.69999694824219,10,33.33330154418945,FALSE,FALSE,360109.55555555556
2019-11-18,GARTNER INC,"Consumer, Non-cyclical",Commercial Services,Consulting Services,159.95,32.11,NA,1.1846331357955933,66.93062185777241,14308001911.699999,10,30,3,11.95829963684082,67.19999694824219,10,8.333330154418945,FALSE,FALSE,297349.4
2019-11-18,ILLINOIS TOOL WORKS,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,175.84,49.15,2.4340310565334105,1.0634803771972656,23.38814726577744,56516047920.64,11,18.181800842285156,2,9.888890266418457,61.36360168457031,12,15.384599685668945,FALSE,FALSE,290388
2019-11-18,INVESCO LTD,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,17.37,0.6300002,7.138745017482689,1.20021653175354,7.861258452655222,7884136608.75,9,22.222200393676758,2,9.601849555969238,66.777801513671875,9,0,FALSE,FALSE,316750.7189709819
2019-11-18,HUNT (JB) TRANSPRT SVCS INC,Industrial,Transportation,Transport-Truck,116.14,23.1,0.8954709504503422,0.9153521060943604,20.27628036394796,12377957538.279999,10,20,2,18.816699981689453,61.79999923706055,10,14.285699844360352,FALSE,FALSE,256332.25
2019-11-18,JOHNSON CONTROLS INTERNATION,Industrial,Building Materials,Bldg Prod-Air&Heating,42.53,12.88,2.4453326166306777,1.015439510345459,21.265764957186896,33841400166.920002,11,27.2726993560791,3,3.8910300731658936,59.545501708984375,13,10,FALSE,FALSE,216058.64285714287
2019-11-18,JACOBS ENGINEERING GROUP INC,Industrial,Engineering&Construction,Engineering/R&D Services,93.7,35.24,0.725720391838375,1.0948702096939087,20.873031140300675,12696173188.1,11,18.181800842285156,2,8.291669845581055,68.09089660644531,12,12.5,FALSE,FALSE,215090.18181818182
2019-11-18,JACK HENRY & ASSOCIATES INC,Technology,Software,Data Processing/Mgmt,150.66,24.14,1.0619939093600543,0.8798151612281799,40.95535406076957,11591313956.64,9,33.33330154418945,3,7.2870402336120605,59,9,0,FALSE,FALSE,286959.25
2019-11-18,JOHNSON & JOHNSON,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,134.83,5.779997,2.8179458304162286,0.8416187167167664,21.136744187560765,354855355557.17,11,27.2726993560791,3,7.319439888000488,64.545501708984375,12,25,FALSE,FALSE,303822.8
2019-11-18,JUNIPER NETWORKS INC,Communications,Telecommunications,Telecommunication Equip,26.08,-0.8299998,2.9141103928805863,0.9784582257270813,21.700800153524884,8729159864,9,11.111100196838379,1,8.277779579162598,60.555599212646484,12,0,FALSE,FALSE,310677
2019-11-18,JPMORGAN CHASE & CO,Financial,Banks,Diversified Banking Inst,130.62,33,2.7562973008441682,1.080224633216858,13.207292941366726,409687660772.88,12,16.66670036315918,2,9.992420196533203,64.41670227050781,11,45.454498291015625,FALSE,FALSE,382284.5
2019-11-18,NORDSTROM INC,"Consumer, Cyclical",Retail,Retail-Major Dept Store,37.87,-8.740001,3.908106731115623,0.8875766396522522,11.037984112497307,5878700787.049999,10,30,3,5.840909957885742,56,11,27.2726993560791,FALSE,FALSE,311042
2019-11-18,KELLOGG CO,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,65.43,8.420002,3.484640029634373,0.6460636258125305,18.97625120727466,22317792066.54,12,41.66669845581055,5,5.763889789581299,60.16669845581055,12,27.2726993560791,FALSE,FALSE,258655.08333333334
2019-11-18,KEYCORP,Financial,Banks,Super-Regional Banks-US,18.97,4.19,3.9029536367971684,1.1784151792526245,9.933086138948273,18684653430.73,14,35.714298248291016,5,8.661459922790527,63.285701751708984,16,25,TRUE,TRUE,198775
2019-11-18,KEYSIGHT TECHNOLOGIES IN,Industrial,Electronics,Electronic Measur Instr,107.37,45.29,NA,1.1044520139694214,21.47482088747431,20140244813.610004,7,14.285699844360352,1,4.981480121612549,65.14289855957031,9,9.090909957885742,FALSE,FALSE,324435.5714285714
2019-11-18,KRAFT HEINZ CO/THE,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,31.01,-12.03,5.159626004004701,0.9235871434211731,9.37983593269078,37868191632.46,11,18.181800842285156,2,4.204549789428711,57.727298736572266,11,11.111100196838379,FALSE,FALSE,276151.54545454547
2019-11-18,KIMCO REALTY CORP,Financial,REITS,REITS-Shopping Centers,21.77,7.12,5.144694555665465,0.7866848111152649,30.143337253347575,9192001851.55,10,30,3,15.76669979095459,69.9000015258789,10,0,FALSE,FALSE,268730
